capture_0030,tools/dataset/captures/baseline_20260625T182331Z/capture_0030.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1829,10.50,12.36,1.02,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0031,tools/dataset/captures/baseline_20260625T182331Z/capture_0031.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1594,9.70,10.36,0.91,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0032,tools/dataset/captures/baseline_20260625T182331Z/capture_0032.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1075,7.20,6.39,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0033,tools/dataset/captures/baseline_20260625T182331Z/capture_0033.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0918,6.37,5.12,0.45,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0034,tools/dataset/captures/baseline_20260625T182331Z/capture_0034.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1763,10.10,11.81,0.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0035,tools/dataset/captures/baseline_20260625T182331Z/capture_0035.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.1788,9.87,11.68,1.15,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0036,tools/dataset/captures/baseline_20260625T182331Z/capture_0036.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0930,6.33,5.23,0.45,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0037,tools/dataset/captures/baseline_20260625T182331Z/capture_0037.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1078,7.17,6.44,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0038,tools/dataset/captures/baseline_20260625T182331Z/capture_0038.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1655,9.29,10.99,0.92,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0039,tools/dataset/captures/baseline_20260625T182331Z/capture_0039.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1688,9.29,11.16,0.98,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0040,tools/dataset/captures/baseline_20260625T182331Z/capture_0040.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1081,7.37,6.46,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0041,tools/dataset/captures/baseline_20260625T182331Z/capture_0041.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0917,6.65,5.07,0.45,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0042,tools/dataset/captures/baseline_20260625T182331Z/capture_0042.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3273,19.19,23.34,2.02,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0043,tools/dataset/captures/baseline_20260625T182331Z/capture_0043.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1091,7.04,6.53,0.55,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0044,tools/dataset/captures/baseline_20260625T182331Z/capture_0044.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1531,9.51,9.84,0.88,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0045,tools/dataset/captures/baseline_20260625T182331Z/capture_0045.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.3248,18.54,23.20,2.00,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0046,tools/dataset/captures/baseline_20260625T182331Z/capture_0046.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1014,4.86,6.23,0.46,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0047,tools/dataset/captures/baseline_20260625T182331Z/capture_0047.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1539,9.23,9.92,0.89,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0048,tools/dataset/captures/baseline_20260625T182331Z/capture_0048.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1035,6.40,6.14,0.51,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0049,tools/dataset/captures/baseline_20260625T182331Z/capture_0049.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1077,6.71,6.50,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0050,tools/dataset/captures/baseline_20260625T182331Z/capture_0050.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1529,9.11,9.85,0.88,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0051,tools/dataset/captures/baseline_20260625T182331Z/capture_0051.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1027,6.63,6.03,0.51,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0052,tools/dataset/captures/baseline_20260625T182331Z/capture_0052.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1801,10.04,12.20,0.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0053,tools/dataset/captures/baseline_20260625T182331Z/capture_0053.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3011,17.29,21.20,1.90,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0054,tools/dataset/captures/baseline_20260625T182331Z/capture_0054.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1033,6.89,6.04,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0055,tools/dataset/captures/baseline_20260625T182331Z/capture_0055.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.1785,10.08,12.06,0.98,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0056,tools/dataset/captures/baseline_20260625T182331Z/capture_0056.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0924,6.39,5.14,0.46,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0057,tools/dataset/captures/baseline_20260625T182331Z/capture_0057.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1045,6.98,6.15,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0058,tools/dataset/captures/baseline_20260625T182331Z/capture_0058.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1799,10.19,12.18,0.98,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0059,tools/dataset/captures/baseline_20260625T182331Z/capture_0059.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1631,9.67,10.53,0.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0060,tools/dataset/captures/baseline_20260625T182331Z/capture_0060.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1065,7.12,6.32,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0061,tools/dataset/captures/baseline_20260625T182331Z/capture_0061.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1657,9.76,11.01,0.90,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0062,tools/dataset/captures/baseline_20260625T182331Z/capture_0062.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1632,9.93,10.70,0.92,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0063,tools/dataset/captures/baseline_20260625T182331Z/capture_0063.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1083,7.04,6.48,0.54,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0064,tools/dataset/captures/baseline_20260625T182331Z/capture_0064.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1665,9.61,11.06,0.92,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0065,tools/dataset/captures/baseline_20260625T182331Z/capture_0065.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.1695,9.86,11.26,0.95,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0066,tools/dataset/captures/baseline_20260625T182331Z/capture_0066.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1086,6.90,6.54,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0067,tools/dataset/captures/baseline_20260625T182331Z/capture_0067.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0920,6.38,5.12,0.46,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0068,tools/dataset/captures/baseline_20260625T182331Z/capture_0068.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1759,9.93,11.78,0.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0069,tools/dataset/captures/baseline_20260625T182331Z/capture_0069.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1073,6.89,6.44,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0070,tools/dataset/captures/baseline_20260625T182331Z/capture_0070.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1556,9.64,10.07,0.88,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0071,tools/dataset/captures/baseline_20260625T182331Z/capture_0071.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3271,18.38,23.42,2.01,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0072,tools/dataset/captures/baseline_20260625T182331Z/capture_0072.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1017,6.65,5.96,0.50,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0073,tools/dataset/captures/baseline_20260625T182331Z/capture_0073.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0960,6.44,5.48,0.47,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0074,tools/dataset/captures/baseline_20260625T182331Z/capture_0074.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3249,18.75,23.21,1.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0075,tools/dataset/captures/baseline_20260625T182331Z/capture_0075.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.0992,6.91,5.73,0.48,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0076,tools/dataset/captures/baseline_20260625T182331Z/capture_0076.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0998,6.79,5.77,0.49,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0077,tools/dataset/captures/baseline_20260625T182331Z/capture_0077.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0966,6.55,5.54,0.47,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0078,tools/dataset/captures/baseline_20260625T182331Z/capture_0078.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1683,10.61,11.02,0.96,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0079,tools/dataset/captures/baseline_20260625T182331Z/capture_0079.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1082,6.97,6.48,0.54,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0080,tools/dataset/captures/baseline_20260625T182331Z/capture_0080.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.0907,6.47,5.00,0.45,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0081,tools/dataset/captures/baseline_20260625T182331Z/capture_0081.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1082,7.12,6.48,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0082,tools/dataset/captures/baseline_20260625T182331Z/capture_0082.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0916,6.76,5.04,0.46,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0083,tools/dataset/captures/baseline_20260625T182331Z/capture_0083.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1769,10.23,11.91,0.97,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0084,tools/dataset/captures/baseline_20260625T182331Z/capture_0084.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1068,6.99,6.40,0.51,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0085,tools/dataset/captures/baseline_20260625T182331Z/capture_0085.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.0931,10.87,4.82,0.43,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0086,tools/dataset/captures/baseline_20260625T182331Z/capture_0086.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1762,10.18,11.86,0.96,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0087,tools/dataset/captures/baseline_20260625T182331Z/capture_0087.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.2901,17.11,20.38,1.80,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0088,tools/dataset/captures/baseline_20260625T182331Z/capture_0088.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0986,6.88,5.64,0.49,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0089,tools/dataset/captures/baseline_20260625T182331Z/capture_0089.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1859,9.82,12.68,1.04,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0090,tools/dataset/captures/baseline_20260625T182331Z/capture_0090.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1554,8.97,10.08,0.89,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0091,tools/dataset/captures/baseline_20260625T182331Z/capture_0091.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1018,7.25,5.86,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0092,tools/dataset/captures/baseline_20260625T182331Z/capture_0092.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1066,7.07,6.36,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0093,tools/dataset/captures/baseline_20260625T182331Z/capture_0093.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.2991,18.10,20.99,1.88,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0094,tools/dataset/captures/baseline_20260625T182331Z/capture_0094.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1049,6.88,6.19,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0095,tools/dataset/captures/baseline_20260625T182331Z/capture_0095.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.1778,9.83,12.04,0.97,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0096,tools/dataset/captures/baseline_20260625T182331Z/capture_0096.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3067,17.57,21.71,1.91,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0097,tools/dataset/captures/baseline_20260625T182331Z/capture_0097.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1072,7.05,6.39,0.53,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0098,tools/dataset/captures/baseline_20260625T182331Z/capture_0098.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1643,9.25,10.87,0.93,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0099,tools/dataset/captures/baseline_20260625T182331Z/capture_0099.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1717,9.44,11.48,0.97,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0100,tools/dataset/captures/baseline_20260625T182331Z/capture_0100.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1077,7.10,6.46,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
