split,sample_id,crop_path,position,expected,predicted,confidence_percent
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_co2_3_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_co2_3_7.png,co2_3,7,2,24
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_tvoc_1_0.png,tvoc_1,0,1,78
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_tvoc_3_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_tvoc_3_8.png,tvoc_3,8,3,56
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_humidity_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_humidity_1_6.png,humidity_1,6,5,71
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0097_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0097_tvoc_1_0.png,tvoc_1,0,1,93
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_co2_2_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_co2_2_8.png,co2_2,8,5,32
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_co2_3_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/9/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_co2_3_9.png,co2_3,9,2,26
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_hcho_3_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_hcho_3_6.png,hcho_3,6,3,34
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_tvoc_1_0.png,tvoc_1,0,1,81
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_humidity_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0112_humidity_1_6.png,humidity_1,6,5,82
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_co2_2_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/9/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_co2_2_9.png,co2_2,9,7,52
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_tvoc_1_0.png,tvoc_1,0,1,80
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_tvoc_3_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/9/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_tvoc_3_9.png,tvoc_3,9,3,47
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_humidity_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0130_humidity_1_6.png,humidity_1,6,5,67
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_co2_2_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_co2_2_8.png,co2_2,8,5,37
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_co2_3_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/9/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_co2_3_9.png,co2_3,9,2,34
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_hcho_3_5,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/5/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_hcho_3_5.png,hcho_3,5,3,32
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_tvoc_1_0.png,tvoc_1,0,1,78
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_tvoc_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0151_tvoc_3_4.png,tvoc_3,4,3,35
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_co2_2_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_co2_2_8.png,co2_2,8,5,33
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_co2_3_3,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/3/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_co2_3_3.png,co2_3,3,2,30
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_hcho_3_5,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/5/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_hcho_3_5.png,hcho_3,5,3,32
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_tvoc_1_0.png,tvoc_1,0,1,80
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_tvoc_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_tvoc_3_4.png,tvoc_3,4,3,41
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_humidity_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0169_humidity_1_6.png,humidity_1,6,5,100
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0231_hcho_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0231_hcho_2_0.png,hcho_2,0,1,91
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0231_hcho_3_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/9/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0231_hcho_3_9.png,hcho_3,9,3,62
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0330_hcho_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0330_hcho_2_0.png,hcho_2,0,1,93
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0330_hcho_3_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0330_hcho_3_0.png,hcho_3,0,3,59
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_co2_0_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_co2_0_0.png,co2_0,0,1,56
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_co2_1_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_co2_1_7.png,co2_1,7,1,83
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_co2_3_5,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/5/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_co2_3_5.png,co2_3,5,1,89
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_hcho_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_hcho_1_0.png,hcho_1,0,2,67
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_hcho_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_hcho_2_0.png,hcho_2,0,6,90
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_hcho_3_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_hcho_3_8.png,hcho_3,8,0,100
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_0_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_0_0.png,tvoc_0,0,2,79
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/1/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_1_1.png,tvoc_1,1,9,82
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_2_3,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/3/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_2_3.png,tvoc_2,3,7,63
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_tvoc_3_4.png,tvoc_3,4,5,56
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/2/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_temp_0_2.png,temp_0,2,9,70
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_temp_1_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_temp_1_8.png,temp_1,8,0,95
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_humidity_0_4.png,humidity_0,4,8,73
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_humidity_1_5,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/5/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0392_humidity_1_5.png,humidity_1,5,6,70
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0452_hcho_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0452_hcho_2_0.png,hcho_2,0,1,94
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0452_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0452_tvoc_1_0.png,tvoc_1,0,1,94
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_co2_1_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_co2_1_7.png,co2_1,7,6,82
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_co2_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_co2_2_0.png,co2_2,0,6,66
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_co2_3_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_co2_3_6.png,co2_3,6,2,43
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_tvoc_1_0.png,tvoc_1,0,1,78
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_tvoc_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0473_tvoc_3_4.png,tvoc_3,4,2,53
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_co2_1_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_co2_1_7.png,co2_1,7,6,83
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_co2_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_co2_2_0.png,co2_2,0,6,61
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_co2_3_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_co2_3_6.png,co2_3,6,2,48
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_tvoc_1_0.png,tvoc_1,0,1,80
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_tvoc_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0494_tvoc_3_4.png,tvoc_3,4,2,45
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_co2_1_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_co2_1_7.png,co2_1,7,6,82
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_co2_2_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_co2_2_0.png,co2_2,0,6,60
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_co2_3_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_co2_3_6.png,co2_3,6,2,41
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_tvoc_1_0.png,tvoc_1,0,1,82
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_tvoc_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0539_tvoc_3_4.png,tvoc_3,4,2,52
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0824_tvoc_2_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0824_tvoc_2_8.png,tvoc_2,8,6,50
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_co2_2_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_co2_2_4.png,co2_2,4,6,38
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_co2_3_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_co2_3_0.png,co2_3,0,2,68
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_hcho_3_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_hcho_3_7.png,hcho_3,7,3,79
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_tvoc_3_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0865_tvoc_3_8.png,tvoc_3,8,2,42
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0883_co2_3_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/1/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0883_co2_3_1.png,co2_3,1,7,62
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0883_tvoc_2_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0883_tvoc_2_8.png,tvoc_2,8,6,59
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0901_co2_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0901_co2_1_6.png,co2_1,6,5,67
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_co2_2_5,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/5/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_co2_2_5.png,co2_2,5,3,44
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_co2_3_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/1/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_co2_3_1.png,co2_3,1,7,98
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_tvoc_2_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_tvoc_2_8.png,tvoc_2,8,6,72
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_tvoc_3_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/9/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0931_tvoc_3_9.png,tvoc_3,9,3,43
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0963_co2_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0963_co2_1_6.png,co2_1,6,5,75
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0963_co2_3_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0963_co2_3_8.png,co2_3,8,2,59
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0963_hcho_2_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/2/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0963_hcho_2_2.png,hcho_2,2,5,63
