sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc
negative_0036_partial,tools/dataset/captures/generated_negative_20260721/negative_0036_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0037_blur,tools/dataset/captures/generated_negative_20260721/negative_0037_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0038_exposure,tools/dataset/captures/generated_negative_20260721/negative_0038_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0039_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0039_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0040_partial,tools/dataset/captures/generated_negative_20260721/negative_0040_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0041_blur,tools/dataset/captures/generated_negative_20260721/negative_0041_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0042_exposure,tools/dataset/captures/generated_negative_20260721/negative_0042_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0043_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0043_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0044_partial,tools/dataset/captures/generated_negative_20260721/negative_0044_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0045_blur,tools/dataset/captures/generated_negative_20260721/negative_0045_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0046_exposure,tools/dataset/captures/generated_negative_20260721/negative_0046_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0047_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0047_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0048_partial,tools/dataset/captures/generated_negative_20260721/negative_0048_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0049_blur,tools/dataset/captures/generated_negative_20260721/negative_0049_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0050_exposure,tools/dataset/captures/generated_negative_20260721/negative_0050_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0051_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0051_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0052_partial,tools/dataset/captures/generated_negative_20260721/negative_0052_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0053_blur,tools/dataset/captures/generated_negative_20260721/negative_0053_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0054_exposure,tools/dataset/captures/generated_negative_20260721/negative_0054_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0055_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0055_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0056_partial,tools/dataset/captures/generated_negative_20260721/negative_0056_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0057_blur,tools/dataset/captures/generated_negative_20260721/negative_0057_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0058_exposure,tools/dataset/captures/generated_negative_20260721/negative_0058_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0059_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0059_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0060_partial,tools/dataset/captures/generated_negative_20260721/negative_0060_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0061_blur,tools/dataset/captures/generated_negative_20260721/negative_0061_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0062_exposure,tools/dataset/captures/generated_negative_20260721/negative_0062_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0063_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0063_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0064_partial,tools/dataset/captures/generated_negative_20260721/negative_0064_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0065_blur,tools/dataset/captures/generated_negative_20260721/negative_0065_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0066_exposure,tools/dataset/captures/generated_negative_20260721/negative_0066_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0067_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0067_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0068_partial,tools/dataset/captures/generated_negative_20260721/negative_0068_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0069_blur,tools/dataset/captures/generated_negative_20260721/negative_0069_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0070_exposure,tools/dataset/captures/generated_negative_20260721/negative_0070_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0071_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0071_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0072_partial,tools/dataset/captures/generated_negative_20260721/negative_0072_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0073_blur,tools/dataset/captures/generated_negative_20260721/negative_0073_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0074_exposure,tools/dataset/captures/generated_negative_20260721/negative_0074_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0075_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0075_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0076_partial,tools/dataset/captures/generated_negative_20260721/negative_0076_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0077_blur,tools/dataset/captures/generated_negative_20260721/negative_0077_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0078_exposure,tools/dataset/captures/generated_negative_20260721/negative_0078_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0079_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0079_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0080_partial,tools/dataset/captures/generated_negative_20260721/negative_0080_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0081_blur,tools/dataset/captures/generated_negative_20260721/negative_0081_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0082_exposure,tools/dataset/captures/generated_negative_20260721/negative_0082_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0083_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0083_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0084_partial,tools/dataset/captures/generated_negative_20260721/negative_0084_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0085_blur,tools/dataset/captures/generated_negative_20260721/negative_0085_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0086_exposure,tools/dataset/captures/generated_negative_20260721/negative_0086_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0087_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0087_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0088_partial,tools/dataset/captures/generated_negative_20260721/negative_0088_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0089_blur,tools/dataset/captures/generated_negative_20260721/negative_0089_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0090_exposure,tools/dataset/captures/generated_negative_20260721/negative_0090_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0091_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0091_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0092_partial,tools/dataset/captures/generated_negative_20260721/negative_0092_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0093_blur,tools/dataset/captures/generated_negative_20260721/negative_0093_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0094_exposure,tools/dataset/captures/generated_negative_20260721/negative_0094_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0095_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0095_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0096_partial,tools/dataset/captures/generated_negative_20260721/negative_0096_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0097_blur,tools/dataset/captures/generated_negative_20260721/negative_0097_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0098_exposure,tools/dataset/captures/generated_negative_20260721/negative_0098_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0099_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0099_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0100_partial,tools/dataset/captures/generated_negative_20260721/negative_0100_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0101_blur,tools/dataset/captures/generated_negative_20260721/negative_0101_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0102_exposure,tools/dataset/captures/generated_negative_20260721/negative_0102_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0103_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0103_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0104_partial,tools/dataset/captures/generated_negative_20260721/negative_0104_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0105_blur,tools/dataset/captures/generated_negative_20260721/negative_0105_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0106_exposure,tools/dataset/captures/generated_negative_20260721/negative_0106_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0107_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0107_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0108_partial,tools/dataset/captures/generated_negative_20260721/negative_0108_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0109_blur,tools/dataset/captures/generated_negative_20260721/negative_0109_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0110_exposure,tools/dataset/captures/generated_negative_20260721/negative_0110_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0111_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0111_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0112_partial,tools/dataset/captures/generated_negative_20260721/negative_0112_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0113_blur,tools/dataset/captures/generated_negative_20260721/negative_0113_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0114_exposure,tools/dataset/captures/generated_negative_20260721/negative_0114_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0115_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0115_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0116_partial,tools/dataset/captures/generated_negative_20260721/negative_0116_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0117_blur,tools/dataset/captures/generated_negative_20260721/negative_0117_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0118_exposure,tools/dataset/captures/generated_negative_20260721/negative_0118_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0119_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0119_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0120_partial,tools/dataset/captures/generated_negative_20260721/negative_0120_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
