sample_id,image_path,lighting_label,split,display_text,predicted_display_text,temperature_text,temperature_c,humidity_percent,valid,confidence,roi_brightness,roi_contrast,roi_sharpness,notes
capture_0021,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0021.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.5232,20.05,39.48,3.36,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0022,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0022.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.5262,20.15,39.65,3.40,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0023,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0023.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.5244,19.98,39.56,3.37,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0024,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0024.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.5236,19.99,39.57,3.34,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0025,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0025.jpg,changed_daylight_manual_29c_43h,validation,29C 47%,29C 47%,29C,29.00,47,true,0.5225,19.98,39.43,3.35,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0026,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0026.jpg,changed_daylight_manual_29c_43h,train,29C 47%,29C 47%,29C,29.00,47,true,0.5130,18.75,38.89,3.24,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0027,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0027.jpg,changed_daylight_manual_29c_43h,train,29C 47%,29C 47%,29C,29.00,47,true,0.5123,18.78,38.80,3.25,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0028,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0028.jpg,changed_daylight_manual_29c_43h,train,29C 47%,29C 47%,29C,29.00,47,true,0.5128,18.80,38.87,3.24,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0029,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0029.jpg,changed_daylight_manual_29c_43h,train,29C 47%,29C 47%,29C,29.00,47,true,0.5119,18.73,38.83,3.22,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0030,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0030.jpg,changed_daylight_manual_29c_43h,test,29C 47%,29C 47%,29C,29.00,47,true,0.5038,18.27,38.11,3.21,human_confirmed_changed_daylight_29c_43h;range_relabelled
